Section,Question,Answer
Grad Finance FAQs and Contacts,What is the tuition cost for a fee-per-credit program?,"If you are in a fee-per-credit program, view your tuition rates on our domestic fees or international fees list."
Grad Finance FAQs and Contacts,What is the tuition cost for a flat-fee program?,"If you are in a flat-fee program, view your tuition rates on our domestic fees or international fees list."
Grad Finance FAQs and Contacts,What are ancillary fees?,"Ancillary fees are used to provide important services and resources for graduate students. These fees are charged alongside your tuition on your student account. All ancillary fees are approved by both your Student Union and the Board of Governors. Some fees are also voted on by the student body, including your U-Pass and gym membership. All students pay ancillary fees to enable access to services at a lower cost than would be possible on an individual basis. We understand that you may not use all of the available services, and we encourage you to make use of services that you feel will enrich your student experience."
Grad Finance FAQs and Contacts,What ancillary fees can I opt out of?,"The select fees you can opt out of go toward your Student Union, clubs and societies, on-campus events and the refugee sponsorship program. View the complete list of ancillary fees , including the fees you can opt out of."
Grad Finance FAQs and Contacts,Why are more ancillary fee categories listed this year?,We recognize that students want to know where their ancillary fees are going. We have separated some fee categories into several smaller items to provide a more detailed breakdown. These are not new fees and are being presented in this way to provide you with more specific information regarding the services and resources that ancillary fees make possible and continue to support.
Grad Finance FAQs and Contacts,How do I know how much my tuition and ancillary fees are this term?,"Students in flat-fee programs are charged tuition in each academic term, regardless of the number of courses taken. Fees will automatically be applied to your account. For students in good standing, fees are normally applied prior to course registration. Students with existing balances will not be permitted to register in future terms and may have fees applied at a later date. Students in per-credit programs will be charged tuition and fees once they have registered in their course(s). To view your balance, follow these steps: Log in to MyOntarioTech . Click on Self Service Options (top right-hand corner). Select Student Information . Select Paying Your Fees . Select Account Detail by Term . View your net tuition balance ."
Grad Finance FAQs and Contacts,Can I pay my tuition with my graduate funding?,"Yes, you can pay your tuition with graduate funding. If you wish to do so, you must submit the graduate student promissory note for deferment of fees and tuition deduction form and supporting documentation to gradfinance@ontariotechu.ca . Review additional information and requirements."
Grad Finance FAQs and Contacts,Can I use a credit card to pay for my tuition?,"Yes, we do accept credit card payments. Please review all acceptable payment options ."
Grad Finance FAQs and Contacts,Are there any other fees in addition to my program tuition?,Ancillary fees are paid in addition to tuition fees. You may view the ancillary fees on the ancillary fees web page .
Grad Finance FAQs and Contacts,What if I miss the payment deadline?,"Review the payment deadline schedule . It is your responsibility to be aware of any important dates that apply to you, and ensure all account fees are paid on time. If your fees are not paid by the deadline, your account will be subject to a late fee and your account may be inactivated, preventing future registration. In addition, graduate students in research programs may not be able to complete their thesis defence. Late fees are charged on a monthly basis of 1.5 percent interest on the outstanding balance of your tuition account."
Grad Finance FAQs and Contacts,"I am withdrawing from a course, will I owe tuition and fees?","Students in flat-fee programs are charged tuition in each academic term, regardless of the number of courses taken, therefore withdrawing from a course will not result in a refund of tuition or ancillary fees. Students in per-credit programs are charged tuition based on the number of course credits. Withdrawing from a course by the posted course drop deadlines may result in a refund."
Grad Finance FAQs and Contacts,"I am completing my program requirements before the end of the semester, will I still have to pay all tuition and fees?","In some cases, students that complete their program requirements before the end of the academic semester may be eligible for a tuition refund. Review the dates for submission of final work and corresponding refund amounts . To determine if you may be eligible for a refund, contact gradfinance@ontariotechu.ca ."
Grad Finance FAQs and Contacts,"I have questions about my OSAP, who do I contact?",Support regarding OSAP is administered by Student Awards and Financial Aid and found at the OSAP SAFA website . Graduate students with inquiries are encouraged to review the Financial Aid and OSAP FAQs or visit the Student Awards and Financial Aid website .
Grad Finance FAQs and Contacts,I have a credit balance. How do I get my refund?,"Students with a credit balance due to scholarships, awards or tuition overpayment will receive refunds according to the regularly scheduled refunds, normally after the 100 per cent refund deadline for tuition fees each term. Refund requests submitted prior to this date will not normally be considered unless there are extenuating circumstances."
Registering for Courses,How can I confirm my student status permits registration?,"Go to MyOntarioTech . Select the Current students box. In the Registration box, select Check your registration status . If prompted, login using your network credentials. On the Select a term page, use the drop down arrow to select a term from the Terms open for registration and then click continue. Confirm that your student status and academic standing permit registration, and that you do not have any holds on your account that would prevent registration."
Registering for Courses,Where can I find my Registration start date and time?,You can find your specific registration date and time via our Registration Start Dates web page .
Registering for Courses,How can I confirm my earned hours?,"Your earned hours are based on successfully completed course credit hours, and will determine when your course registration window opens. Your earned hours are posted in a number of locations on MyOntarioTech . To view your hours earned: Go to MyOntarioTech . Select the Current students box. In the Registration box, select Check your registration status . If prompted, login using your network credentials. On the Select a term page, use the drop down arrow to select a term from the Terms open for registration and then click continue. Your earned hours equal your institution hours, plus your transfer hours. OR Go to MyOntarioTech . Select the Current students box. In the Student records box, select Student profile . If prompted, login using your network credentials. Your earned hours are shown as Overall hours on the top banner of your Student profile page. On your Student profile page, below Overall hours from Step 5. Your earned hours are also listed in the undergraduate table found under the heading Curriculum, H ours and GPA , select Hours and GPA tab."
Registering for Courses,How do I know which course(s) to register for?,"If this is your first time registering for courses at Ontario Tech, you can locate your program map on our Course registration guide by selecting your start term, followed by your faculty and then by selecting Program Maps on the side navigation bar . If you are a returning student, you can follow your program map from the year you started in your program, or contact your Academic Advisor for assistance. If you are a graduate student and have questions about which courses to register for, you should contact your Graduate Program Office."
Registering for Courses,How do I navigate the course preview?,"Our course preview and registration processes have been updated to serve you better. To search for courses in the course preview : Select the term you are interested in and select C ontinue . If you know the course code, enter it directly in the S ubject and course number field. As you start typing, a drop-down menu will show all the courses that match your search. Select S earch to bring up the course details, including lecture times, linked labs, or tutorials if applicable. Select C ourse title to view additional information about the course, including any restrictions, prerequisites and course comments. Select S earch again to return to the main B rowse classes page to search for another course. To search all courses in a particular subject area, select or start typing in the S ubject field, which will bring up a drop-down menu of all subjects available. You may also use the Advanced search option to search by a variety of alternative criteria."
Registering for Courses,How do I use the plan ahead feature for registration?,"Our Plan Ahead feature allows you to create mock schedules to map out your upcoming semester(s). These can be uploaded once your registration window opens, allowing you to easily register into your preferred courses. Note: If you are a first year student, and your program provides you with either a block schedule option, or a pre-designed semester schedule option, you do not need to use the plan ahead feature. This feature benefits continuing or returning students, or first year students entering a program that does not provide pre-designed scheduling options. To create your own mock schedule using the Plan ahead feature: Go to MyOntarioTech . Select the Current students box. In the Registration box, select Plan ahead. If prompted, login using your network credentials. On the Select a term page, select a term using the drop down arrow in Terms open for planning and then select continue. Under the Select a plan page, select Create a new plan . For each schedule that you want to create, use the course listed on your program map, and search for available sections using the class schedule search: Select the Subject from the provided list using the first four letters of the course code. Enter the four-digit number into the Course number field, followed by the letter “U."" Select the View sections button and then select the Add button to add the desired course sections to your mock schedule. You can create up to six mock schedules per semester. Be sure to add all linked labs and tutorials for each course using the View linked button, if applicable. Once your registration window opens, you can register into all courses listed in your mock schedule by selecting the plans tab at the top of the registration screen, then select A dd all . Remember to double-check restrictions ad prerequisite requirements before finalizing your mock schedule. This will avoid any scheduling conflicts when you attempt to register into your chosen courses."
Registering for Courses,Why am I getting the Registration Contract when I try accessing the Plan Ahead function?,"This contract will appear for every student who attempts to access the Plan Ahead feature during the fall/winter semester which runs from September to April and/or the spring/summer semester which runs from May to August. You have to accept the contract in order to access Plan Ahead. Note: This will not affect your registration as you cannot access the registration section until your specific registration window opens, for the fall/winter term. Nor will the system allow you to register for the spring/summer term."
Registering for Courses,What is an elective?,"Electives, general electives or open electives may be chosen from any course in the list of offerings. However, some courses are restricted from degree credit in some programs. Read our Academic Calendar regulations carefully to ensure that the electives will meet your program requirements. If you are still unsure, please contact your Academic Advisor ."
Registering for Courses,How do I use the Ontario Tech Mobile app to register for courses?,"You can now register for courses using our Ontario Tech Mobile app if you have your student number and network password. Within the Courses Module section on the app, you will be able to: View your current courses View your weekly schedule Look up/ Register for courses View certain holds View your final grades View your academic, personal and contact information Learn how to register via the Mobile app ."
Registering for Courses,How do I determine which classes to take?,"Requirements for graduate programs of study are listed in the program sections of the Graduate Academic Calendar . Students should become familiar with the degree requirements and plan their programs accordingly. Not all courses are offered in any one term or academic year. Elective offerings may vary from semester to semester. Students are advised to consult with their graduate program director , faculty advisor or research supervisor as part of the planning process. All courses in the student's program must be approved by the graduate program director. Students cannot take courses for credit in addition to the course requirements for their graduate program."
Registering for Courses,What is a continuance course?,"For administrative purposes, all graduate students in flat-fee programs are registered in a specific course known as a “continuance course”. This confirms that the student is registered in the graduate program until they have met all program requirements and are eligible to graduate. Unless the student has applied and been approved for a leave of absence from the program, they are automatically re-registered in this course at the beginning of each semester. Although the course code appears on the student's transcript, it is not graded or calculated into the student's GPA. Students in a fee-per-credit program do not normally receive a continuance course unless they have completed all other courses and are working towards their final project/thesis course, if applicable. To determine if your program is flat-fee or fee per-credit, refer to the tuition fees page . Continuance courses: Business Analytics and AI (MBAI) BUSI 5999G Criminology SSCI 5999G Education (EdD) EDUC 7000G Engineering ENGR 5000G Health Sciences HLSC 5000G Science MSCI 6999G"
Registering for Courses,I'm trying to register for a course on MyOntarioTech and I'm getting an error. What do I do?,"There are several reasons why a graduate student may be unable to add a course. For example, if you try to register for a course outside of your program, an undergraduate course or a course that must be approved prior to registration, you will receive an error. In these situations, please contact your Graduate Program Office for information and next steps. You will need to be granted approval by your supervisor (if applicable) and graduate program director. Note that you are not permitted to exceed the maximum allowable credits, which is dependent on your full-time or part-time status. For more information on errors, please see the registration errors page or contact connect@ontariotechu.ca."
Registering for Courses,Am I expected to be registered in the spring/summer term?,"Yes. Graduate students are expected to be registered year-round (with the exception of all graduate diplomas in nuclear engineering). There are three terms in the academic year: fall, winter and spring/summer. Students in flat-fee programs are automatically registered and fees are applied to student accounts prior to each term."
Registering for Courses,How do I change my full-time or part-time status?,"Some programs offer full-time and part-time studies, whereas other programs offer only full-time studies. Students declare themselves as full-time or part-time at the time of application. Under certain circumstances, students may change from full-time to part-time status or vice versa. A Change in Full-Time/Part-Time Status form will need to be completed and signed by your supervisor (if applicable), your graduate program director, and the School of Graduate and Postdoctoral Studies. The deadline for submitting these forms is normally in the first week of the relevant term. Ensure you review the important dates and deadlines page ."
Registering for Courses,Am I able to change my program once I'm registered?,"In certain situations, students may request to change their program. For example, a student in a professional-based program may request to move to a similar research-based program, or vice versa. Students are required to obtain approval using a Change of Program/Supervisor form , which must be signed by the research supervisor (if applicable), graduate program director and the School of Graduate and Postdoctoral Studies. Students are not permitted to switch to a new program outside of their discipline or between faculties without a formal application to the new program. Transfer credits from the previous program at not guaranteed."
Registering for Courses,What if I need to take time off from my studies?,"The university recognizes that, under certain circumstances, students may need to absent themselves from regular study while maintaining their relationship with the university. Such circumstances must have sufficient cause and an official leave of absence must be requested through the School of Graduate and Postdoctoral Studies (SGPS) and approved by the research supervisor (if applicable), graduate program director and SGPS. Supporting documentation is required. Please visit the Leave of Absence webpage for more information."
Registering for Courses,How do I drop a class?,"You may drop classes through MyOntarioTech . After the tenth day of the term, drop requests must be completed using the Add/Drop Form . Please check Important Dates for more information. Dropping a class does not constitute an approved Leave of Absence or withdrawal from the program for students in flat fee programs."
Registering for Courses,I am having difficulty logging in while using MyOntarioTech. What do I do?,"If you have never logged into the system, make sure that you have set up your Network Password . If you are still having difficulties, please call IT Services at 905.721.3333 ."
Registering for Courses,How can I get a Verification of Enrolment letter?,"If are an undergraduate student and you need a Verification of Enrolment letter for RESP purposes, CPP benefits, banking institutions, study permits, etc., you can can print one from MyOntarioTech . You may use this letter in place of the forms that require our stamp and signature, as this letter is considered an official Ontario Tech letter. Note: You must first be registered in fall and winter classes for the letters to generate. Verification of enrolment letters cannot be provided prior to course registration. To view your Undergraduate verification of enrolment letter: Go to MyOntarioTech . Select the Current students box. In the Student records box , select Undergraduate verification of enrolment . If prompted, login using your network credentials. Using the down arrow, select the term year and then select Submit . Right click or press Ctrl then click on Download Verification of enrolment, and select Open in a new tab or window . If you are a graduate student, please fill out the Specialized Letter Request form to request your Verification of Enrolment letter."
Registering for Courses,How do I know how much to pay for tuition?,"You are only charged fees once you have registered in your courses. Fees are due each semester. Visit the Academic Schedule to confirm when your fees are due. If you have registered in your courses, follow the steps below to view your outstanding balance: Go to MyOntarioTech . Click on the Current students box. In the Paying your fees box, select Account details . If prompted, login using your network credentials. View your account balance by term. If you have further questions about your fees and payment, visit the Fees and payment FAQ section."
Registering for Courses,Why is there an error when I try to register into my courses using my mock schedule?,"When creating your mock schedule, the system doesn't check for any registration errors, including linked courses, pre-requisite courses, restrictions or time conflicts. Make sure that you review the restriction of each of the courses you are trying to add before registering for them to avoid any errors. If you need further assistance, contact us."
Registering for Courses,I am getting a “Time Ticket Error” when I try registering for my courses. What should I do?,"Time Ticket Errors mean that your registration window has not opened yet. Please check the Registration Start Dates web page for your specific date and time. If you are unsure which one applies to you, give us a call at 905.721.3190 or come see us at the Office of the Registrar."
Registering for Courses,What do I do if I get an error message?,"When it comes to course registration, errors are common. Find out what to do when you're faced with certain error messages by visiting our Common registration error and hold messages web page ."
Registering for Courses,What do I do if I get a hold error when registering?,"There are a number of reasons why you may encounter a hold error message when attempting to register. For information on how to determine your hold and how to resolve it, check out our Common registration error and hold messages web page ."
Registering for Courses,What does Conditional Add/drop courses mean?,"Conditional Add/Drop allows you to drop a course, on the condition that you are successfully registered into a new one. To use this feature: Check the Co nditional add/drop box beside the Submit button in the summary section of your course registration screen. Select the new course you wish to add to your schedule, indicate which course you would like to drop if you successfully register into your newly selected course, then select Submit . If you were able to be registered into your new course without errors, the summary section will indicate that you have successfully added and dropped your courses. If there were any errors with your new course, then your registration would remain as it was before."
Registering for Courses,How do I change the lab/tutorial section of one of my courses without dropping the corresponding lecture?,"You can use the Conditional Add/Drop function, which allows you to drop your current lab/tutorial on the condition that you are able to successfully register into the new lab/tutorial section. To use this feature: check the Conditional add/drop box beside the Submit button in the summary section of your course registration screen. Select the new course you wish to add to your schedule, indicate which course you would like to drop if you successfully register into your newly selected course, then select Submit . If you were able to be registered into your new course without errors, the summary section will indicate that you have successfully added and dropped your courses. If there were any errors with your new course, then your registration would remain as it was before."
Registering for Courses,I just tried to switch a lab section and was removed from the course entirely. Why?,"If the lab section you were trying to switch into was full, you were not added to that section. However, you were removed from your original lab section and the corresponding lecture because the lab that you dropped is linked to that lecture. To best avoid this from happening, please check the availability of course sections prior to dropping a class, or use the Conditional Add/Drop function located beside the submit button on your course registration screen."
Registering for Courses,How do I drop my last course?,"You will not be able to drop your last course online. You will need to complete a Drop course request - student form. Courses that are not officially dropped will be graded and you will be responsible for paying any fees associated with the course. If you are a graduate student, fill out the Graduate Studies – Add/Drop Course form ."
Registering for Courses,How do I officially withdraw from the university?,"If you are an undergraduate student considering a full withdrawal from Ontario Tech, you must complete the Request to Withdraw form. To access the Request to Withdraw form: 1. Go to MyOntarioTech. 2. Select the Current Students box. 3. The form is located in the Undergraduate Forms section. If you have any questions about the withdrawal process please contact us . Note: If you do not formally withdraw from the university or officially drop your courses, all courses will be graded and you will be responsible for paying all fees associated with the courses. Please refer to our Important dates and deadlines section in our Academic Calendar to ensure you adhere to our drop deadlines."
Other Services and Departments,What is my Ucard and how can I access it?,"The Ontario Tech Ucard is one of the most important pieces of identification (ID) that students, faculty and staff have. It identifies you as a member of Ontario Tech and gives you access to various facilities, resources and services, both on- and off-campus. Students, faculty and staff with an approved photo on file can now access their digital Ucard through our Ontario Tech Mobile app . If you have not yet downloaded the app, search for Ontario Tech Mobile in your device's app store. Physical cards will be issued to those with specific requirements outside of the digital Ucard (i.e. nursing badges for placements, and proximity (prox) access to rooms, etc.). Returning students with a physical Ucard do not need to update their card annually, and it is now valid for the duration of your studies at Ontario Tech. You may access your digital Ucard or continue to use your previously issued physical Ucard if you require access to on-campus areas and/or services. Check out our Ontario Tech Ucard web page for more information. If you have any questions, please email ucard@ontariotechu.ca ."
Other Services and Departments,Can I use my Ucard as photo ID for examination purposes?,"Yes, your digital Ucard can be used as an acceptable form of ID for exams, tests, etc., but only when it has an accompanying photo. Without a photo, your digital Ucard is invalid and will not be considered an acceptable form of ID for exams, test, etc. If you have not submitted your photo for use in your digital Ucard, visit our How to get your Ucard web page for instructions. Note: Photo approval can take around 1 to 2 business days. To access your digital Ucard, download and sign into the Ontario Tech Mobile app . Once your photo has been approved, it will automatically appear on your digital Ucard."
Other Services and Departments,How do I download the software I need as part of the Bring Your Own Device (BYOD) program?,"You can visit the Software Portal and log in with your student email account. For more information on the BYOD TELE model, visit the Information and Technology Services website ."
Other Services and Departments,How do I book an appointment with a Financial Aid Officer?,You can request an appointment by calling us at 905.721.3190.
Other Services and Departments,How can I find my Academic Advisor?,"We have a great team of academic advisors who can assist you with many different questions. You can find your academic advisor by faculty on our Academic Advising website . If you are in a graduate program, contact your Faculty program staff member(s )."
Other Services and Departments,How do I get a Universal Transit Pass (U-Pass)?,"The U-Pass is now available for use with physical and digital PRESTO cards only. It is no longer accessible with the PRESTO E-Tickets app. Before each semester begins, eligible, full-time students will receive an email with their unique U-Pass voucher code, which they can load onto their PRESTO card. For more information, visit our U-Pass web page ."
Other Services and Departments,Where can I find more information about U-Pass and the bus schedule?,"Getting to classes on time is important. If you are commuting by public transit, learn more about where your U-Pass can take you, and get to know your bus routes and how long it will take you to get here . If you have any questions regarding your U-Pass, please email upass@ontariotechu.ca ."
Other Services and Departments,Are there any counselling or community support services available for students?,Ontario Tech provides support and assistance for students using a Stepped Care model. Learn more about our Stepped Care model .
Other Services and Departments,Where can I access services and support specifically for International students?,"Various services and supports for International students, activities and partners are available through different offices of the university. Visit the International Office web page or email iss@ontariotechu.ca for more information."
Other Services and Departments,Where can I find more information about residence and meal plans?,"If you are planning on living on campus there are many options for residences and meal plans that are overseen by Residence Services . Through them you can learn what you need to know about life in residence, including: Booking a residence tour. Applying for residence. Payments, including your residence deposit. Different meal plan options. Move-in and move-out dates. If you have any questions about residence or meal plans, contact info@dc-otresidence.ca ."
Other Services and Departments,Where can I find information about Graduate Studies?,"For general graduate student inquires, contact the Registrar's Office. This includes but is not limited to: admissions, fees and payments, awards and bursaries, specialized letters, registration, and convocation. For inquiries related to thesis & defence, post-doctoral fellows, and graduate events/engagement, you may contact the School of Graduate and Postdoctoral Studies. For guidance on course selection and degree programming, please contact your Graduate Faculty office."
